Timestamp,What country do you work in?,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of ,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,List other relevant and recognized certifications,[Optional] Briefly describe your position,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Overtime Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,Compensation - Stock Options,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Most recent annual yearly raise (%),[OPTIONAL] Sign on - Relocation Assistance Total Value,[Optional] Company Review
8/6/2023 13:35,Canada,Toronto,Academia/Research/Institution,Prefer not to say,Private,200-1000,Medical Writer,Bachelors or Equivalent,None,Regulatory writing in clinical CRO,5,60000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,"Fully paid health insurance, HSA",Have not been long enough to have an annual yearly raise,,
4/19/2023 19:24,Germany,Munich,Academia/Research/Institution,Max Planck Institute,Academia/College/Universities,5000+,Post-doc,PhD or Equivalent,None,,4,58000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,"Very good place, very fair treatment"
6/22/2023 16:28,Slovenia,Ljubljana ,Academia/Research/Institution,Prefer not to say,Public,50-200,Student assistant researcher,Bachelors or Equivalent,None,"Student helping out in the downstream processes department of a Biotech company, mostly working with protein extraction and quantification",0,13166,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,8 percent increase every few months,,
6/14/2023 15:30,United Kingdom,Edinburgh,Academia/Research/Institution,University of Edinburgh,Academia/College/Universities,5000+,Postdoc,PhD or Equivalent,None,Postdoc,2,38000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,2,,
3/29/2023 2:06,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Research Scientist,Masters or Equivalent,None,,7,105000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,10,,
3/29/2023 10:29,United States,Seattle ,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,50-200,Bioinformatics intern,Masters or Equivalent,None,Single cell RNA seq analysis ,0,74000,1.5x base,Not Applicable/None,Not Applicable/None,,,5%,"Full health, dental, vision coverage ",Have not been long enough to have an annual yearly raise,4000,
3/29/2023 16:57,United States,Los Angeles ,Academia/Research/Institution,Thermo Fisher ,Public,5000+,Technical Application Scientist II,PhD or Equivalent,None,,2,83000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,401k match 6%,High deductible ,3%,,
3/29/2023 19:50,United States,New York,Academia/Research/Institution,Regeneron,Private,5000+,Process development associate II,Bachelors or Equivalent,None,,1,80000,N/A (no overtime/salaried),6400,Options,10000,,,,Have not been long enough to have an annual yearly raise,,
4/3/2023 16:14,United States,New York,Academia/Research/Institution,Prefer not to say,Private,1-50,Licensing Agent,PhD or Equivalent,None,,7,195000,N/A (no overtime/salaried),27000,Not Applicable/None,,,,,Yes,,
4/8/2023 7:56,United States,Research Triangle,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Associate Scientist II,Bachelors or Equivalent,None,,13,115000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,11% employer retirement contribution ,"Fairly average health, dental, etc",Have not been long enough to have an annual yearly raise,,
5/29/2023 10:33,United States,Boston,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1-50,Research Associate,Bachelors or Equivalent,None,,0,70000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,3000,n/a,401k match 6%,n/a,Company/Institution does not have annual yearly raise,0,n/a
5/29/2023 15:09,United States,Miami,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,1000-5000,Lab Technician,Bachelors or Equivalent,None,Set up models and materials for academic lab,1,37600,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
6/23/2023 16:06,United States,Boston,Academia/Research/Institution,Catamaran Bio,Private,1-50,Associate Scientist ,Masters or Equivalent,None,,7,11000,N/A (no overtime/salaried),10000,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,Good company. Seemed like leadership actually cared and listened 
7/16/2023 14:34,United States,Portland,Academia/Research/Institution,Prefer not to say,Public,200-1000,Supervisor,Bachelors or Equivalent,MB(ASCP),Supervise Gene Production laboratory ,3,87400,N/A (no overtime/salaried),6%,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
7/31/2023 19:00,United States,San Diego,Academia/Research/Institution,The Salk Institute for Biological Studies,Academia/College/Universities,50-200,Bioinformatics Analyst II,PhD or Equivalent,None,,1,86360,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,3,5000,
8/22/2023 15:04,United States,Midwest,Academia/Research/Institution,R1 Level University,Academia/College/Universities,5000+,Scientist I,PhD or Equivalent,None,Bioinformatician,4,70000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,0,NA,Mandatory Pension Contribution. Matches 100% up to 6%,"Many plans offered, dental, vision included, HSA available",5,,
10/8/2023 23:17,United States,San Diego,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Director,Bachelors or Equivalent,None,Technology core lab,20,155,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,"403b, 5% match","HMO, cost $300/month",Company/Institution does not have annual yearly raise,,
10/28/2023 16:00,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Research Associate,Bachelors or Equivalent,None,Assist PhD scientists with experiments relating to antibody discovery and manufacturing,0,65000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
11/20/2023 8:31,United States,Providence,Academia/Research/Institution,Brown University,Academia/College/Universities,1000-5000,Research Services Technician,Associate’s Degree or Equivalent,ALAT,Colony management,6,47500,1.5x base,Not Applicable/None,Not Applicable/None,,,"403b automatic 6%, match additional 2%","$15 copays, no deductibles or cap",3-4%,,"Pay is not amazing, but the benefits outweigh that heavily. Paid schooling/certificates through EEP program, incredible insurance and 403b, abundance of vacation after 2 years, easy to network, etc. An incredible jump off point for starting your career if you still need a degree or care more about work/life balance"
12/7/2023 16:27,United States,San Francisco ,Academia/Research/Institution,Verily Life Sciences,Subsidiary,1000-5000,Molecular Biology Research Technician,Bachelors or Equivalent,None,,2,87360,1.5,Not Applicable/None,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
3/29/2023 1:52,United States,San Diego,Academia/Research/Institution,Prefer not to say,Start-up,1-50,Associate Scientist,Masters or Equivalent,N/A,Associate Scientist - Lead and develop stem cell engineering platform ,9,150000,N/A (no overtime/salaried),24000,Not Applicable/None,,,5% 401k match,80%/20% employer/employee HMO premium ,4%,,
3/29/2023 3:36,United States,Bay Area,Academia/Research/Institution,Chan Zuckerberg Biohub ,Private,50-200,Research Associate I,Bachelors or Equivalent,None,,3,77000,N/A (no overtime/salaried),3% annual salary,Not Applicable/None,,,$ for $ match on 401k up to federal contribution limits for 401k. ,"2 HMO, 1 PPO option. Low cost <$45/mo for individual. Unsure about family plan. Cost for dental and vision is about $2-4/mo combined. ",3%,2500,"Great, less overworked than in academia. Some PIs micromanage to the extreme, others can be very laid back. Very team-dependent experience. Poor with promotions within the company"
3/29/2023 9:18,United States,Portland,Academia/Research/Institution,Twist,Public,200-1000,Supervisor I,Bachelors or Equivalent,None,"Reagents supervisor, manage team of about 20 people to supply multiple departments",12,83000,1.5x,6500,1500,0,40000k in stock after 4 years,401k match 3%,,Company/Institution does not have annual yearly raise,10000,Twist is nice and chill and will succeed if the C level can focus on mfg instead of courting investors
3/29/2023 12:01,United States,Seattle,Academia/Research/Institution,Universal Cells,Subsidiary,50-200,Senior Research Associate ,Masters or Equivalent,None,,2,95000,N/A (no overtime/salaried),9000,Not Applicable/None,,,,,Have not been long enough to have an annual yearly raise,,
6/20/2023 4:19,United States,Seattle,Academia/Research/Institution,Prefer not to say,Start-up,50-200,Scientist I,Masters or Equivalent,None,,6,90000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,,,Company/Institution does not have annual yearly raise,,
9/7/2023 1:10,United States,Bay Area,Academia/Research/Institution,Prefer not to say,Private,1-50,Senior Data Scientist ,PhD or Equivalent,None,Build models to predict age related diseases ,4,175000,N/A (no overtime/salaried),20000,Not Applicable/None,0,0,4% match,,Company/Institution does not have annual yearly raise,,I like it
9/7/2023 20:14,United States,Boston,Academia/Research/Institution,Dana-Farber Cancer Institute,Academia/College/Universities,1000-5000,Senior Research Technician,Masters or Equivalent,None,,1,50700,1.5,Not Applicable/None,Not Applicable/None,1000,,403b 3%,,3%,,Love it. Except for the pay.
10/2/2023 11:03,United States,Seattle,Academia/Research/Institution,Fred Hutch,Academia/College/Universities,5000+,Quality Assurance Associate II,Bachelors or Equivalent,None,,4,74000,N/A (no overtime/salaried),Not Applicable/None,Not Applicable/None,,,7% match,,Have not been long enough to have an annual yearly raise,,
